0;0.0120985
1;0.012703
2;0.0133043
3;0.0138992
4;0.0144846
5;0.0150569
6;0.0156127
7;0.0161486
8;0.0166612
9;0.0171472
10;0.0176033
11;0.0180263
12;0.0184135
13;0.018762
14;0.0190694
15;0.0193334
16;0.0195521
17;0.019724
18;0.0198476
19;0.0199222
20;0.0199471
21;0.0199222
22;0.0198476
23;0.019724
24;0.0195521
25;0.0193334
26;0.0190694
27;0.018762
28;0.0184135
29;0.0180263
30;0.0176033
31;0.0171472
32;0.0166612
33;0.0161486
34;0.0156127
35;0.0150569
36;0.0144846
37;0.0138992
38;0.0133043
39;0.012703
40;0.0120985
41;0.0114941
42;0.0108926
43;0.0102968
44;0.0097093
45;0.0091325
46;0.0085684
47;0.0080192
48;0.0074864
49;0.0069715
50;0.0064759
51;0.0060005
52;0.005546
53;0.0051132
54;0.0047025
55;0.0043139
56;0.0039475
57;0.0036032
58;0.0032808
59;0.0029797
60;0.0026995
61;0.0024396
62;0.0021992
63;0.0019775
64;0.0017737
65;0.001587
66;0.0014164
67;0.0012609
68;0.0011197
69;0.0009919
70;0.0008764
71;0.0007725
72;0.0006791
73;0.0005956
74;0.000521
75;0.0004547
76;0.0003958
77;0.0003436
78;0.0002976
79;0.0002571
80;0.0002216
81;0.0001905
82;0.0001633
83;0.0001397
84;0.0001192
85;0.0001015
86;0.0000861
87;0.0000729
88;0.0000616
89;0.0000519
90;0.0000436
91;0.0000366
92;0.0000306
93;0.0000255
94;0.0000212
95;0.0000176
96;0.0000146
97;0.0000121
98;0.0000099
99;0.0000082
100;0.0000067
101;0.0000055
102;0.0000045
103;0.0000036
104;0.0000029
105;0.0000024
106;0.0000019
107;0.0000016
108;0.0000012
109;0.000001
110;0.0000008
111;0.0000006
112;0.0000005
113;0.0000004
114;0.0000003
115;0.0000003
116;0.0000002
117;0.0000002
118;0.0000001
119;0.0000001
120;0.0000001
