79;349.7586207;205.2581398
78;633.0689655;343.546621
77;1951.8275862;1023.3012079
35;1984.2413793;1053.6204133
36;1988.6551724;1049.3673358
33;1978.3793103;1047.3025015
34;1986.0344828;1050.828771
39;1997;1053.0318473
37;1980.5862069;1043.0250482
38;1987.8965517;1049.8983061
43;1990.9655172;1053.4142952
42;1990.0689655;1053.3652511
41;1983.2068966;1051.1636878
40;1987.3103448;1049.9176534
82;241.1071429;108.9340063
83;226.3928571;108.3278082
80;305.5172414;152.2895786
81;272.3793103;140.4514186
86;159.5;71.2776262
87;133.76;56.6077733
84;202.4074074;104.0566633
85;177.2222222;83.9231944
67;1980.1724138;1038.3776862
66;1985.7931034;1049.9032738
69;1988.8275862;1043.0906709
68;1980.3448276;1048.1262968
22;1989.4482759;1046.388776
23;1988.1034483;1044.5942256
24;1976.7586207;1042.2839843
25;1992.5517241;1048.1928185
26;1990.0344828;1049.3673769
27;1977.6206897;1044.782083
28;1982.862069;1050.8432914
29;1981.7931034;1047.9898234
3;1986.6551724;1051.8181292
2;1981.2413793;1046.3064853
1;1918.3333333;1088.4085609
7;1992.4827586;1046.7520044
30;1986.7931034;1046.9173245
6;1996.1724138;1053.0601688
5;1986.0689655;1043.715305
32;1988.8275862;1066.0500212
4;1986.6206897;1047.4314984
31;1977.7586207;1046.5122569
70;1980.0689655;1044.1805376
71;1988.6206897;1059.6426087
9;1966.7241379;1041.5314582
72;1989.8275862;1042.8809365
8;1977.7931034;1051.4298557
73;1993.0689655;1054.1995586
74;1988;1044.2400518
75;1993.2758621;1050.9349204
76;1982.2068966;1045.9317234
59;1979;1046.9148894
58;1992.2068966;1043.9446954
57;1988.4827586;1055.9136065
56;1975.7586207;1043.392121
19;1979.2758621;1042.3188399
55;1992.5862069;1053.319973
17;1979.7931034;1051.7943301
18;1979.4482759;1054.2330518
15;1986.7586207;1050.9183282
16;1984.8275862;1037.6175689
13;1984.5517241;1053.4074502
14;1975.9310345;1046.6897456
11;1992.8965517;1046.2843217
12;1980.5517241;1044.0582081
21;1987.6206897;1050.4853441
20;1993.4827586;1053.7569732
64;1984.3448276;1045.2098312
65;1986.2413793;1053.571228
62;1986.1724138;1056.7221918
63;1992.6896552;1041.3320146
60;1984.1034483;1049.2591381
61;1986.5862069;1052.8248232
49;1982.137931;1039.3860387
48;1993.9655172;1064.1855532
96;10.25;12.2848145
95;39.125;30.9812731
94;57;13.3202317
45;1994.4482759;1044.7602454
93;50;24.4335834
44;1989.4827586;1058.0874127
92;61.6428571;22.0405471
47;1977.5172414;1050.6503979
91;66.375;27.2369235
46;1992.1724138;1058.0538087
90;69.8947368;29.7151191
10;1984.8965517;1049.7187836
51;1978.5517241;1041.9298916
52;1984.6206897;1054.026613
53;1986.7241379;1046.2835213
54;1975.6206897;1050.1165722
88;103.64;35.8002328
89;85.7391304;32.263429
50;1984.3103448;1044.1321449
