79;1000.2962963;496.0444936
78;1841.4827586;480.7860841
77;2706.137931;993.4052447
35;2674.7241379;1012.3438115
36;2670.5172414;1013.1845348
33;2676.2068966;1001.7642073
34;2667.5862069;1007.4389211
39;2668.5172414;1005.6629164
37;2677.3793103;1005.2217031
38;2675.1034483;1010.304952
43;2669.862069;1005.5797803
42;2673.4827586;1004.6249699
41;2676.8965517;1016.3823221
40;2685.3448276;1010.2321613
82;385.047619;258.4233883
83;259.8571429;167.1023901
80;785.4074074;484.2532125
81;534.72;288.0528771
86;383;?
87;7;?
84;183.6666667;225.0960906
85;271;228.2367192
67;2667.7586207;1010.6283638
66;2681.7241379;1013.2460531
69;2678.2413793;1007.7482911
68;2669.2413793;1010.6425345
22;2686.4827586;1011.7727943
23;2670.5862069;1004.983778
24;2685.0344828;1011.5086499
25;2666.2068966;1006.3263593
26;2664.7931034;1007.7483876
27;2682.7931034;1015.7836658
28;2674.9310345;1011.1306236
29;2672.6206897;1008.7521787
3;2659.0344828;1012.3060831
2;2662.7241379;1009.1475149
1;2585.3666667;1106.5554346
7;2679.0689655;1007.645556
30;2663.6206897;1002.5095088
6;2666.4827586;1001.3554963
5;2671.4137931;1003.7597364
32;2674.5172414;1007.9573978
4;2678.0344828;1021.0616493
31;2669.3793103;1000.6591904
70;2664.1034483;1009.6287275
71;2673.7241379;1009.0266844
9;2669.2413793;1006.1563587
72;2667.3103448;1004.7034425
8;2677.5862069;1011.522068
73;2672.8275862;1014.0204657
74;2687.0689655;1014.3281355
75;2677.4137931;1010.4208995
76;2675.6896552;1011.6295942
59;2681.6206897;1009.2971888
58;2668.0344828;1001.1168222
57;2672.1724138;1004.7843077
56;2679.2413793;1007.9821659
19;2676.7586207;1011.8119763
55;2666.5517241;1005.3081825
17;2677.8275862;1010.8875898
18;2671.6896552;1008.4081197
15;2670.4137931;1011.7052972
16;2675.3103448;1005.8685338
13;2669.2068966;1010.6440796
14;2666.3103448;1006.7670004
11;2673.0344828;1013.1825559
12;2665.4137931;1004.1190352
21;2669.7241379;1014.2911281
20;2666.4827586;1002.5007168
64;2676.3103448;1011.9301608
65;2674.1724138;1009.5663521
62;2682.3448276;1010.8057704
63;2663.1724138;997.7900248
60;2677.0689655;1009.7860782
61;2676.2413793;1011.1075489
49;2659.8275862;1003.4829726
48;2663.6206897;1010.8326629
45;2678;1020.8996733
44;2670.7586207;1012.5953449
47;2666.3103448;1004.3252214
46;2680.1034483;1008.829355
10;2672.862069;1009.4754905
51;2666.8275862;1003.7642747
52;2676.0689655;1007.6042637
53;2671.0344828;1005.2348867
54;2675.2068966;1005.0323868
50;2672.862069;1011.833757
