Simulation Total Time;7886313
Total Number of Sensed Events by the WSN: 354472
Total Number of Sensed Events by the Drone: 354472
Number of Sensed Events by the Drone per Day
eboracum.wsn.network.node.sensor.MuleWSNNode;Node36;0;317877;31780;0;6189;7712589.999998;89 days 6:24:18
eboracum.wsn.network.node.sensor.MuleWSNNode;Node37;0;414398;39579;0;6783;7541539.999997;87 days 6:52:46
eboracum.wsn.network.node.sensor.MuleWSNNode;Node38;0;364305;39634;0;6669;7558859.999997;87 days 11:41:0
eboracum.wsn.network.node.sensor.MuleWSNNode;Node39;0;205603;32742;1;6494;7655186.666666;88 days 14:26:44
eboracum.wsn.network.node.sensor.MuleWSNNode;Node40;0;132071;33063;0;6658;7559703.333333;87 days 11:56:20
eboracum.wsn.network.node.sensor.MuleWSNNode;Node41;0;211338;33053;0;6587;7637506.666666;88 days 9:33:22
eboracum.wsn.network.node.sensor.MuleWSNNode;Node42;0;373752;40096;0;6701;7549216.666664;87 days 9:0:24
eboracum.wsn.network.node.sensor.MuleWSNNode;Node43;0;422864;40015;0;6819;7531539.999998;87 days 4:6:44
eboracum.wsn.network.node.sensor.MuleWSNNode;Node44;0;316517;32370;0;6384;7676139.999998;88 days 20:17:6
eboracum.wsn.network.node.sensor.MuleWSNNode;Node45;0;318783;31736;0;6307;7694543.333331;89 days 1:22:28
eboracum.wsn.network.node.sensor.MuleWSNNode;Node46;0;412099;39282;0;6556;7580073.33333;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node47;0;366269;39530;0;6534;7581039.999998;87 days 17:50:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node48;0;252295;39288;0;6525;7584870;87 days 18:55:52
eboracum.wsn.network.node.sensor.MuleWSNNode;Node49;0;210168;33390;0;6734;7611106.666666;88 days 2:12:16
eboracum.wsn.network.node.sensor.MuleWSNNode;Node50;0;255620;39774;0;6637;7562463.333334;87 days 12:43:18
eboracum.wsn.network.node.sensor.MuleWSNNode;Node51;0;383777;40183;0;6670;7553213.333331;87 days 10:7:2
eboracum.wsn.network.node.sensor.MuleWSNNode;Node52;0;427674;39908;0;6717;7548589.999998;87 days 8:49:50
eboracum.wsn.network.node.sensor.MuleWSNNode;Node53;0;323408;32173;0;6414;7673409.999998;88 days 19:30:30
eboracum.wsn.network.node.sensor.MuleWSNNode;Node54;0;317759;32017;0;6384;7679679.999997;88 days 21:14:58
eboracum.wsn.network.node.sensor.MuleWSNNode;Node55;0;414356;39498;0;6628;7566633.333331;87 days 13:51:26
eboracum.wsn.network.node.sensor.MuleWSNNode;Node56;0;425661;39789;0;6714;7550249.999998;87 days 9:17:46
eboracum.wsn.network.node.sensor.MuleWSNNode;Node57;0;382687;39798;0;6556;7574923.33333;87 days 16:9:2
eboracum.wsn.network.node.sensor.MuleWSNNode;Node58;0;371961;39906;0;6760;7541873.33333;87 days 6:58:11
eboracum.wsn.network.node.sensor.MuleWSNNode;Node59;0;372308;40022;0;6617;7563116.666664;87 days 12:53:41
eboracum.wsn.network.node.sensor.MuleWSNNode;Node60;0;428463;40256;0;6795;7532889.999998;87 days 4:28:12
eboracum.wsn.network.node.sensor.MuleWSNNode;Node61;0;425125;39664;0;6680;7556826.666664;87 days 11:7:7
eboracum.wsn.network.node.sensor.MuleWSNNode;Node62;0;325380;31828;0;6264;7700359.999998;89 days 3:1:9
eboracum.wsn.network.node.sensor.MuleWSNNode;Node63;0;309560;31233;0;6338;7694716.666664;89 days 1:25:27
eboracum.wsn.network.node.sensor.MuleWSNNode;Node64;0;411441;38918;0;6697;7561633.333332;87 days 12:27:48
eboracum.wsn.network.node.sensor.MuleWSNNode;Node65;0;423720;39552;0;6714;7552619.999997;87 days 9:57:31
eboracum.wsn.network.node.sensor.MuleWSNNode;Node66;0;426139;39286;0;6692;7558726.666664;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node67;0;423013;39338;0;6615;7570269.999997;87 days 14:52:0
eboracum.wsn.network.node.sensor.MuleWSNNode;Node68;0;414165;39371;0;6604;7571663.333331;87 days 15:15:18
eboracum.wsn.network.node.sensor.MuleWSNNode;Node69;0;412321;39710;0;6773;7541796.666664;87 days 6:56:51
eboracum.wsn.network.node.sensor.MuleWSNNode;Node70;0;411647;38975;0;6664;7566223.333332;87 days 13:44:59
eboracum.wsn.network.node.sensor.MuleWSNNode;Node71;0;314994;31002;0;6219;7715669.999998;89 days 7:15:25
eboracum.wsn.network.node.sensor.MuleWSNNode;Node72;0;228680;23647;0;5600;7886196.666664;91 days 6:38:33
eboracum.wsn.network.node.sensor.MuleWSNNode;Node73;0;315565;30591;0;6109;7737013.333331;89 days 13:10:47
eboracum.wsn.network.node.sensor.MuleWSNNode;Node74;0;325341;31352;1;6171;7719689.999997;89 days 8:22:46
eboracum.wsn.network.node.sensor.MuleWSNNode;Node75;0;323616;31433;0;6201;7714179.999998;89 days 6:51:4
eboracum.wsn.network.node.sensor.MuleWSNNode;Node76;0;317162;31416;0;6176;7718266.666664;89 days 7:58:56
eboracum.wsn.network.node.sensor.MuleWSNNode;Node77;0;316286;31540;0;6249;7705579.999998;89 days 4:26:27
eboracum.wsn.network.node.sensor.MuleWSNNode;Node78;0;316925;31778;0;6276;7698989.999998;89 days 2:37:9
eboracum.wsn.network.node.sensor.MuleWSNNode;Node79;0;309551;31020;0;6222;7715019.999998;89 days 7:3:42
eboracum.wsn.network.node.sensor.MuleWSNNode;Node80;0;227035;23927;0;5743;7860993.333331;90 days 23:37:48
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;368313;0
Time that first node die: Node43 87 days 4:6:44
Simulation Total Time;7862008
Total Number of Sensed Events by the WSN: 354671
Total Number of Sensed Events by the Drone: 354671
Number of Sensed Events by the Drone per Day
1;4026
2;3948
3;4017
4;3992
5;4000
6;4000
7;4022
8;3950
9;4039
10;4056
11;3949
12;4069
13;4009
14;3948
15;3988
16;4048
17;4065
18;3986
19;3958
20;4072
21;4000
22;4060
23;3922
24;4090
25;3998
26;4048
27;4020
28;4034
29;4006
30;3965
31;4055
32;3981
33;4001
34;4000
35;4023
36;3991
37;3972
38;4013
39;4053
40;4057
41;4081
42;4031
43;4024
44;4009
45;3990
46;4020
47;3933
48;4029
49;3984
50;4077
51;4037
52;3984
53;4008
54;4048
55;4067
56;3999
57;3996
58;4012
59;3979
60;4066
61;4019
62;3981
63;4001
64;4010
65;4042
66;4001
67;3997
68;3993
69;4010
70;3961
71;3956
72;3983
73;4109
74;4004
75;3973
76;4008
77;4039
78;4092
79;3990
80;4043
81;3998
82;3978
83;3970
84;3994
85;4039
86;4003
87;3974
88;3056
89;1856
90;552
91;234
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.MuleWSNNode;Node0;0;276726;23956;0;5752;7859293.333331;90 days 23:9:16
eboracum.wsn.network.node.sensor.MuleWSNNode;Node1;0;359038;31070;0;6216;7715459.999997;89 days 7:11:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node2;0;318279;31608;0;6266;7702246.666664;89 days 3:32:12
eboracum.wsn.network.node.sensor.MuleWSNNode;Node3;0;315111;31596;0;6211;7710983.333331;89 days 5:56:40
eboracum.wsn.network.node.sensor.MuleWSNNode;Node4;0;316687;31599;0;6156;7719569.999998;89 days 8:20:42
eboracum.wsn.network.node.sensor.MuleWSNNode;Node5;0;322959;31957;0;6354;7684969.999998;88 days 22:43:16
eboracum.wsn.network.node.sensor.MuleWSNNode;Node6;0;324472;31995;0;6382;7680203.333331;88 days 21:24:7
eboracum.wsn.network.node.sensor.MuleWSNNode;Node7;0;314484;31068;0;6197;7718456.666664;89 days 8:1:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node8;0;226428;23928;0;5761;7858163.333331;90 days 22:50:7
eboracum.wsn.network.node.sensor.MuleWSNNode;Node9;0;365329;31103;0;6236;7711996.666663;89 days 6:15:9
eboracum.wsn.network.node.sensor.MuleWSNNode;Node10;0;418809;39058;0;6724;7555993.33333;87 days 10:54:2
eboracum.wsn.network.node.sensor.MuleWSNNode;Node11;0;422790;39768;0;6672;7557039.999998;87 days 11:12:0
eboracum.wsn.network.node.sensor.MuleWSNNode;Node12;0;415543;39770;0;6760;7543243.333331;87 days 7:20:50
eboracum.wsn.network.node.sensor.MuleWSNNode;Node13;0;423500;39569;0;6722;7551196.666665;87 days 9:34:0
eboracum.wsn.network.node.sensor.MuleWSNNode;Node14;0;427231;39694;0;6735;7547919.999998;87 days 8:39:38
eboracum.wsn.network.node.sensor.MuleWSNNode;Node15;0;424461;39635;0;6707;7552886.666664;87 days 10:2:43
eboracum.wsn.network.node.sensor.MuleWSNNode;Node16;0;410773;38739;0;6636;7572979.999998;87 days 15:38:9
eboracum.wsn.network.node.sensor.MuleWSNNode;Node17;0;308358;30930;0;6209;7717956.666664;89 days 7:54:30
eboracum.wsn.network.node.sensor.MuleWSNNode;Node18;0;327454;31758;0;6260;7701686.666664;89 days 3:22:19
eboracum.wsn.network.node.sensor.MuleWSNNode;Node19;0;430489;39715;0;6727;7548953.33333;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node20;0;438283;40520;0;6807;7528369.999997;87 days 3:14:0
eboracum.wsn.network.node.sensor.MuleWSNNode;Node21;0;380506;40415;0;6817;7527853.333333;87 days 3:4:47
eboracum.wsn.network.node.sensor.MuleWSNNode;Node22;0;376400;40037;0;6618;7562809.999998;87 days 12:47:4
eboracum.wsn.network.node.sensor.MuleWSNNode;Node23;0;384784;39693;1;6595;7569853.333331;87 days 14:45:5
eboracum.wsn.network.node.sensor.MuleWSNNode;Node24;0;429791;39739;0;6583;7571273.333332;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node25;0;412255;39245;0;6589;7575273.333331;87 days 16:15:4
eboracum.wsn.network.node.sensor.MuleWSNNode;Node26;0;315935;31573;0;6220;7709803.333331;89 days 5:37:16
eboracum.wsn.network.node.sensor.MuleWSNNode;Node27;0;321158;31685;0;6277;7699753.333331;89 days 2:49:29
eboracum.wsn.network.node.sensor.MuleWSNNode;Node28;0;423784;39408;0;6629;7567376.666664;87 days 14:3:23
eboracum.wsn.network.node.sensor.MuleWSNNode;Node29;0;381407;40202;0;6746;7541106.666664;87 days 6:45:15
eboracum.wsn.network.node.sensor.MuleWSNNode;Node30;0;258638;40280;0;6675;7551450;87 days 9:37:52
eboracum.wsn.network.node.sensor.MuleWSNNode;Node31;0;212350;33291;0;6714;7615230;88 days 3:22:38
eboracum.wsn.network.node.sensor.MuleWSNNode;Node32;0;256216;39813;0;6570;7572570;87 days 15:30:23
eboracum.wsn.network.node.sensor.MuleWSNNode;Node33;0;372216;39962;1;6687;7552749.999998;87 days 10:0:25
eboracum.wsn.network.node.sensor.MuleWSNNode;Node34;0;412391;39538;0;6731;7550096.666664;87 days 9:14:57
eboracum.wsn.network.node.sensor.MuleWSNNode;Node35;0;314809;31800;0;6340;7688733.333331;88 days 23:47:3
eboracum.wsn.network.node.sensor.MuleWSNNode;Node36;0;317459;31682;0;6248;7704326.666664;89 days 4:5:46
eboracum.wsn.network.node.sensor.MuleWSNNode;Node37;0;416120;39111;0;6540;7584289.999997;87 days 18:45:25
