Simulation Total Time;7982190
Total Number of Sensed Events by the WSN: 362133
Total Number of Sensed Events by the Drone: 362133
Number of Sensed Events by the Drone per Day
eboracum.wsn.network.node.sensor.MuleWSNNode;Node37;0;425767;40502;0;6856;7745179.999997;89 days 15:27:30
eboracum.wsn.network.node.sensor.MuleWSNNode;Node38;0;374264;41164;0;6926;7731539.999997;89 days 11:39:7
eboracum.wsn.network.node.sensor.MuleWSNNode;Node39;0;212376;34524;0;6948;7750080;89 days 16:49:15
eboracum.wsn.network.node.sensor.MuleWSNNode;Node40;0;136597;34392;0;6966;7724360;89 days 9:41:11
eboracum.wsn.network.node.sensor.MuleWSNNode;Node41;0;217270;34181;0;6873;7763473.333333;89 days 20:32:43
eboracum.wsn.network.node.sensor.MuleWSNNode;Node42;0;383171;41455;0;6916;7732206.666664;89 days 11:50:14
eboracum.wsn.network.node.sensor.MuleWSNNode;Node43;0;433562;40778;0;6978;7724333.333331;89 days 9:39:4
eboracum.wsn.network.node.sensor.MuleWSNNode;Node44;0;323237;32632;0;6454;7837073.333331;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node45;0;325643;31940;0;6270;7869433.333331;91 days 1:57:50
eboracum.wsn.network.node.sensor.MuleWSNNode;Node46;0;421709;40414;0;6825;7750536.666664;89 days 16:55:48
eboracum.wsn.network.node.sensor.MuleWSNNode;Node47;0;375332;41063;0;6789;7754256.666664;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node48;0;259391;40915;0;6777;7756706.666667;89 days 18:38:44
eboracum.wsn.network.node.sensor.MuleWSNNode;Node49;0;216417;34025;0;6843;7768893.333333;89 days 22:1:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node50;0;262435;40895;0;6758;7759876.666667;89 days 19:31:43
eboracum.wsn.network.node.sensor.MuleWSNNode;Node51;0;393495;41176;0;6925;7731663.333331;89 days 11:41:6
eboracum.wsn.network.node.sensor.MuleWSNNode;Node52;0;438605;40794;0;6835;7747636.666664;89 days 16:7:35
eboracum.wsn.network.node.sensor.MuleWSNNode;Node53;0;331095;32467;0;6388;7848403.333331;90 days 20:7:23
eboracum.wsn.network.node.sensor.MuleWSNNode;Node54;0;325494;32023;0;6287;7866383.333331;91 days 1:6:35
eboracum.wsn.network.node.sensor.MuleWSNNode;Node55;0;423310;40838;0;6963;7726579.999997;89 days 10:17:16
eboracum.wsn.network.node.sensor.MuleWSNNode;Node56;0;435903;41131;0;6958;7726423.333331;89 days 10:14:47
eboracum.wsn.network.node.sensor.MuleWSNNode;Node57;0;392632;40879;1;6795;7753886.666664;89 days 17:51:43
eboracum.wsn.network.node.sensor.MuleWSNNode;Node58;0;382367;40842;0;6804;7752539.999997;89 days 17:29:48
eboracum.wsn.network.node.sensor.MuleWSNNode;Node59;0;381962;40893;0;6749;7761353.333331;89 days 19:56:3
eboracum.wsn.network.node.sensor.MuleWSNNode;Node60;0;439758;41217;0;6863;7741653.333332;89 days 14:28:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node61;0;434913;40462;0;6919;7735023.333331;89 days 12:37:20
eboracum.wsn.network.node.sensor.MuleWSNNode;Node62;0;331983;32289;0;6402;7846709.999998;90 days 19:38:39
eboracum.wsn.network.node.sensor.MuleWSNNode;Node63;0;317146;31408;0;6231;7877576.666664;91 days 4:13:25
eboracum.wsn.network.node.sensor.MuleWSNNode;Node64;0;421592;39961;0;6997;7723953.333332;89 days 9:32:42
eboracum.wsn.network.node.sensor.MuleWSNNode;Node65;0;436251;40503;0;6750;7762486.666664;89 days 20:15:47
eboracum.wsn.network.node.sensor.MuleWSNNode;Node66;0;438700;40343;0;6761;7761226.666664;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node67;0;433218;40577;0;6871;7742483.33333;89 days 14:41:51
eboracum.wsn.network.node.sensor.MuleWSNNode;Node68;0;422707;40507;0;6970;7726543.33333;89 days 10:15:58
eboracum.wsn.network.node.sensor.MuleWSNNode;Node69;0;422353;40448;0;6917;7735396.666664;89 days 12:43:45
eboracum.wsn.network.node.sensor.MuleWSNNode;Node70;0;421954;39615;0;6689;7775413.333332;89 days 23:50:20
eboracum.wsn.network.node.sensor.MuleWSNNode;Node71;0;322151;31218;0;6206;7882293.333331;91 days 5:31:47
eboracum.wsn.network.node.sensor.MuleWSNNode;Node72;0;232586;23996;0;5742;7982153.333331;92 days 9:16:30
eboracum.wsn.network.node.sensor.MuleWSNNode;Node73;0;322822;31578;0;6281;7868843.333331;91 days 1:48:14
eboracum.wsn.network.node.sensor.MuleWSNNode;Node74;0;333437;32224;0;6365;7852969.999997;90 days 21:24:4
eboracum.wsn.network.node.sensor.MuleWSNNode;Node75;0;330811;32456;0;6475;7834233.333331;90 days 16:11:44
eboracum.wsn.network.node.sensor.MuleWSNNode;Node76;0;324024;32350;0;6405;7846016.666664;90 days 19:27:27
eboracum.wsn.network.node.sensor.MuleWSNNode;Node77;0;323684;32080;0;6223;7876646.666664;91 days 3:58:56
eboracum.wsn.network.node.sensor.MuleWSNNode;Node78;0;323833;31998;0;6258;7871199.999998;91 days 2:26:45
eboracum.wsn.network.node.sensor.MuleWSNNode;Node79;0;315156;31336;0;6349;7858543.333331;90 days 22:55:52
eboracum.wsn.network.node.sensor.MuleWSNNode;Node80;0;230772;24090;0;5767;7977759.999998;92 days 8:3:14
Events
