Simulation Identification;sensor.controlled.PSControlledWSNNode_Random81
Round;24
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;81
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;9000000
Total Number of Sensed Events by the WSN;166195
Number of Sensed Events by the WSN per Day
1;1286
2;1911
3;1954
4;1912
5;1934
6;1900
7;1976
8;1911
9;2002
10;1845
11;1883
12;1884
13;1944
14;1909
15;1973
16;1886
17;1926
18;1960
19;1974
20;1912
21;1942
22;1948
23;1969
24;1925
25;1950
26;1880
27;1951
28;1927
29;1923
30;1849
31;2005
32;1909
33;1931
34;1879
35;1954
36;1829
37;1868
38;1909
39;1947
40;1905
41;1948
42;1864
43;1912
44;1903
45;2006
46;1833
47;1913
48;1965
49;1875
50;1907
51;1958
52;1926
53;1968
54;1903
55;1989
56;1883
57;1931
58;1944
59;1868
60;1968
61;1968
62;1861
63;1977
64;1831
65;1953
66;1842
67;1967
68;1983
69;1914
70;1945
71;1986
72;1882
73;1958
74;1936
75;1939
76;1827
77;1995
78;1762
79;1717
80;1697
81;1753
82;1580
83;1469
84;1402
85;1472
86;1490
87;946
88;924
89;862
90;629
91;619
92;363
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node0;0;337347;112807;0;5292;8117320.928001
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node1;0;14782;8858;1;9362;7439612.176666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node2;0;27474;3125;1;3333;8444478.926
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node3;0;41278;26496;0;11714;7047506.662667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node4;0;95013;50176;1;13717;6713531.345334
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node5;0;0;0;1;8109;7648498.41
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node6;0;21130;5106;0;5514;8080964.044
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node7;0;0;0;1;4654;8224330.803333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node8;0;22325;3911;0;4339;8276804.119333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node9;0;35354;14782;1;7021;7829743.351333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node10;0;42199;17219;0;655;8890726.339333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node11;0;0;0;1;6597;7900498.082
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node12;0;0;0;0;4531;8244830.195333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node13;0;444320;51292;0;7841;7692856.798667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node14;0;130419;64839;0;9334;7443943.215334
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node15;0;137276;20612;0;4593;8234373.51
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node16;0;26236;0;0;133;8977831.411333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node17;0;45458;16181;1;719;8880068.038667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node18;0;86399;4570;0;4528;8245302.649333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node19;0;188831;7932;0;7932;7677949.78
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node20;0;88265;32573;1;7844;7692469.362667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node21;0;9017;0;1;544;8909330.299333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node22;0;0;0;1;2096;8650664.936667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node23;0;0;0;0;1274;8787664.888667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node24;0;0;0;1;9393;7434498.914
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node25;0;182805;7911;0;7911;7681448.576
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node26;0;26236;0;0;342;8942994.698
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node27;0;26236;0;0;0;8999996.578
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node28;0;0;0;0;4781;8203163.542667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node29;0;110322;10776;0;6206;7965599.564666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node30;0;0;0;0;8052;7657998.414
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node31;0;139459;5433;0;5550;8074964.858
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node32;0;44665;13913;1;9279;7453415.18
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node33;0;206874;178386;0;6478;7919261.921335
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node34;0;203497;34965;0;7918;7680122.479333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node35;0;30527;0;1;441;8926498.172
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node36;0;0;0;0;3127;8478831.931333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node37;0;52928;33434;1;13940;6676465.138667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node38;0;244589;8288;1;750;8874947.092
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node39;0;0;0;1;7975;7670831.745333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node40;0;113060;7778;1;8008;7665285.069333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node41;0;17219;8202;1;8381;7603116.402667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node42;0;0;0;0;1505;8749164.582667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node43;0;166868;78018;0;7969;7671361.843334
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node44;0;9017;0;0;16;8997329.689333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node45;0;0;0;1;454;8924330.951333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node46;0;141707;0;1;362;8939664.606666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node47;0;26236;0;0;15;8997496.356
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node48;0;0;0;0;7837;7693831.733333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node49;0;376729;7811;0;7802;7699618.080666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node50;0;0;0;0;2503;8582831.469333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node51;0;59418;0;1;29;8995162.998666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node52;0;145032;0;0;950;8841664.438666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node53;0;26236;0;0;0;8999996.358
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node54;0;173445;313;1;1283;8786161.942666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node55;0;0;0;1;274;8954331.523333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node56;0;0;0;0;5707;8048831.549333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node57;0;0;0;0;21;8996497.662
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node58;0;0;0;0;180;8969998.25
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node59;0;52997;5581;0;6973;7837798.865333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node60;0;16181;2280;0;2451;8591484.822
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node61;0;0;0;0;540;8909998.284
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node62;0;57570;24980;1;7991;7668015.722667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node63;0;0;0;0;1912;8681331.279333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node64;0;0;0;0;417;8930498.368
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node65;0;23640;0;1;1790;8701665.486666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node66;0;88898;140;1;887;8852164.058666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node67;0;153000;70050;1;230;8961243.898668
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node68;0;0;0;0;5653;8057832.217333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node69;0;0;0;0;784;8869332.663333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node70;0;0;0;0;7908;7681999.2
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node71;0;0;0;0;6756;7873998.774
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node72;0;21586;0;0;81;8986498.47
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node73;0;172943;438;0;1271;8788162.572666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node74;0;156092;27047;1;2420;8596503.308667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node75;0;19494;5650;1;7040;7826631.786666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node76;0;127516;35528;0;3578;8403452.796667
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node77;0;155366;5331;0;3491;8418133.980666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node78;0;203521;377;0;1802;8699662.674666
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node79;0;65331;0;0;1969;8671831.867333
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node80;0;275187;78769;0;630;8894523.738001
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;338954;0
