Simulation Total Time;4215587
Total Number of Sensed Events by the Drone: 1274296
Number of Sensed Events by the Drone per Day
1;40591
2;40604
3;40749
4;40572
5;40758
6;40775
7;41026
8;40876
9;40988
10;40672
11;40521
12;40682
13;40732
14;40893
15;40862
16;40927
17;40955
18;40909
19;40893
20;40894
21;40656
22;40808
23;40729
24;40783
25;40453
26;40742
27;40958
28;40940
29;40911
30;40658
31;40580
32;10199
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime; Battery spent with drone
eboracum.wsn.network.node.sensor.UAVWSNNode;Node44;0;640776;129349;0;25966;3378843.333325;39 days 2:34:4;62232.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node45;0;643049;129579;1;25917;3384709.999992;39 days 4:12:13;61794.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node46;0;649300;129890;1;25870;3389433.333325;39 days 5:31:59;62160.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node47;0;654128;129857;1;25997;3368596.666658;38 days 23:43:17;62718.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node48;0;618497;127330;0;26060;3383366.666658;39 days 3:49:49;62325.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node49;0;418340;101099;1;25403;3755176.666662;43 days 11:6:25;54525.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node50;0;348736;100199;1;25341;3774509.999998;43 days 16:30:38;54147.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node51;0;550196;127047;1;26032;3390863.333328;39 days 5:55:8;61914.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node52;0;622730;129661;0;26003;3369556.66666;39 days 0:0:16;62361.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node53;0;636145;129662;0;26028;3365379.999992;38 days 22:50:40;62547.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node54;0;638113;129546;1;25927;3383373.333325;39 days 3:49:49;61938.0
