Simulation Total Time;8908752
Total Number of Sensed Events by the WSN: 576507
Total Number of Sensed Events by the Drone: 252524
Number of Sensed Events by the Drone per Day
eboracum.wsn.network.node.sensor.MuleWSNNode;Node37;0;810339;94497;0;17336;5853466.666658;67 days 17:57:47
eboracum.wsn.network.node.sensor.MuleWSNNode;Node38;0;901600;108830;0;20745;5248883.333323;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node39;0;794023;94274;1;17329;5855346.666658;67 days 18:29:14
eboracum.wsn.network.node.sensor.MuleWSNNode;Node40;0;1107990;56015;0;8855;7366966.666652;85 days 6:22:57
eboracum.wsn.network.node.sensor.MuleWSNNode;Node41;0;834559;18808;0;2188;8579933.333321;99 days 7:20:10
eboracum.wsn.network.node.sensor.MuleWSNNode;Node42;0;635158;5462;0;494;8901106.666657;103 days 0:33:21
eboracum.wsn.network.node.sensor.MuleWSNNode;Node43;0;834662;19127;0;2253;8568253.33332;99 days 4:5:6
eboracum.wsn.network.node.sensor.MuleWSNNode;Node44;0;771525;36475;0;5171;8033819.99999;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node45;0;759542;44185;0;6699;7758546.666657;89 days 19:10:29
eboracum.wsn.network.node.sensor.MuleWSNNode;Node46;0;761775;36567;0;5216;8026163.333323;92 days 21:30:25
eboracum.wsn.network.node.sensor.MuleWSNNode;Node47;0;824123;18992;0;2246;8569846.666655;99 days 4:31:33
eboracum.wsn.network.node.sensor.MuleWSNNode;Node48;0;634409;5334;0;450;8908719.999991;103 days 2:39:12
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;415944;0
Time that first node die: Node24 
Simulation Total Time;8906190
Total Number of Sensed Events by the WSN: 574705
Total Number of Sensed Events by the Drone: 252567
Number of Sensed Events by the Drone per Day
1;3986
2;4060
3;4029
4;3965
5;3995
6;4072
7;4044
8;3962
9;4017
10;4074
11;4009
12;4059
13;4032
14;4046
15;4032
16;4014
17;4050
